_id,Year,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
37,2013,S12000010,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,368.4331521655074
38,2013,S12000010,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,166.04535482509206
39,2013,S12000010,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1447.8098232315792
40,2013,S12000010,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,866.1867659762947
41,2013,S12000011,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,4.305201913969765
42,2013,S12000011,"",0-44 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
43,2013,S12000011,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,82.5956801855453
44,2013,S12000011,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,21.831585061856575
45,2013,S12000011,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,309.0797598210223
46,2013,S12000011,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,145.57567380075773
47,2013,S12000011,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1025.04326508893
48,2013,S12000011,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,891.818585509443
49,2013,S12000013,"",0-44 years,"",Males,"",Coronary Heart Disease,0,"",0,"",0
50,2013,S12000013,"",0-44 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
51,2013,S12000013,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,89.76597549380811
52,2013,S12000013,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,50.21146752669898
53,2013,S12000013,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,186.35519153217612
54,2013,S12000013,"",65-74 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
55,2013,S12000013,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1046.9365201883245
56,2013,S12000013,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,473.0296199406934
57,2013,S12000014,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,8.562062723225205
58,2013,S12000014,"",0-44 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
59,2013,S12000014,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,133.69594919172962
60,2013,S12000014,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,41.751099025959995
61,2013,S12000014,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,407.2198761236462
62,2013,S12000014,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,112.0393875293677
63,2013,S12000014,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1443.780793161029
64,2013,S12000014,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,993.6538780732474
65,2013,S12000017,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,7.364548880109308
66,2013,S12000017,"",0-44 years,"",Females,"",Coronary Heart Disease,,c,,c,3.344467845708263
67,2013,S12000017,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,130.45718158945354
68,2013,S12000017,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,11.43490914490602
69,2013,S12000017,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,339.6471779364764
70,2013,S12000017,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,145.099883556037
71,2013,S12000017,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1267.7597905796033
72,2013,S12000017,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,888.6093733402321
73,2013,S12000018,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,5.146075015070648
74,2013,S12000018,"",0-44 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
75,2013,S12000018,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,163.77978244164734
76,2013,S12000018,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,15.393411619826717
77,2013,S12000018,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,375.6480947357298
78,2013,S12000018,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,225.2945122862635
79,2013,S12000018,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1079.3648112930528
80,2013,S12000018,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,874.2551933655496
81,2013,S12000019,"",0-44 years,"",Males,"",Coronary Heart Disease,0,"",0,"",0
82,2013,S12000019,"",0-44 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
83,2013,S12000019,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,112.2396116060221
84,2013,S12000019,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,33.10408477651474
85,2013,S12000019,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,432.7084798983235
86,2013,S12000019,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,118.68526257354785
87,2013,S12000019,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,974.11462393729
88,2013,S12000019,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,804.341965175508
89,2013,S12000020,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,3.867232387518784
90,2013,S12000020,"",0-44 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
91,2013,S12000020,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,84.53940730604552
92,2013,S12000020,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,37.16526746397573
93,2013,S12000020,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,228.7414732514963
94,2013,S12000020,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,194.79409723312165
95,2013,S12000020,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1331.4934035432605
96,2013,S12000020,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,974.6229830015732
97,2013,S12000021,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,12.799260169517858
98,2013,S12000021,"",0-44 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
99,2013,S12000021,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,168.13599423919024
100,2013,S12000021,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,57.51597851450611
101,2013,S12000021,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,559.580551969043
102,2013,S12000021,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,234.358801477104
103,2013,S12000021,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1655.0882687705423
104,2013,S12000021,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,979.5301839197988
105,2013,S12000023,"",0-44 years,"",Males,"",Coronary Heart Disease,0,"",0,"",0
106,2013,S12000023,"",0-44 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
107,2013,S12000023,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,29.328380095806043
108,2013,S12000023,"",45-64 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
109,2013,S12000023,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,316.5259708329765
110,2013,S12000023,"",65-74 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
111,2013,S12000023,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1419.7597599479673
112,2013,S12000023,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,1037.6602564102564
113,2013,S12000026,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,3.381054502598582
114,2013,S12000026,"",0-44 years,"",Females,"",Coronary Heart Disease,,c,,c,4.361696824684712
115,2013,S12000026,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,81.00142528921921
116,2013,S12000026,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,11.36343907547909
117,2013,S12000026,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,311.6573959165013
118,2013,S12000026,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,98.37024748610918
119,2013,S12000026,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1537.301554052251
120,2013,S12000026,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,1026.9928350821365
121,2013,S12000027,"",0-44 years,"",Males,"",Coronary Heart Disease,0,"",0,"",0
122,2013,S12000027,"",0-44 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
123,2013,S12000027,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,205.5191038757685
124,2013,S12000027,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,30.432136335970785
125,2013,S12000027,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,604.3410693669447
126,2013,S12000027,"",65-74 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
127,2013,S12000027,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1563.8451342442197
128,2013,S12000027,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,752.3739616648464
129,2013,S12000028,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,7.42012762619517
130,2013,S12000028,"",0-44 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
131,2013,S12000028,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,110.81595459946509
132,2013,S12000028,"",45-64 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
133,2013,S12000028,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,471.6346672965283
134,2013,S12000028,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,172.90693398870707
135,2013,S12000028,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1531.2778487396154
136,2013,S12000028,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,907.2010341250136
137,2013,S12000029,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,7.135800888130264
138,2013,S12000029,"",0-44 years,"",Females,"",Coronary Heart Disease,,c,,c,1.339287422560488
139,2013,S12000029,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,120.23618175990656
140,2013,S12000029,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,29.623645327653133
141,2013,S12000029,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,471.5262309566041
142,2013,S12000029,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,192.4562433974029
143,2013,S12000029,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1430.9523760144666
144,2013,S12000029,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,971.7447117278282
145,2013,S12000030,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,4.388274530454625
146,2013,S12000030,"",0-44 years,"",Females,"",Coronary Heart Disease,,c,,c,9.190669824819755
147,2013,S12000030,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,85.64923238161337
148,2013,S12000030,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,33.03279620829675
149,2013,S12000030,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,371.4408061462846
150,2013,S12000030,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,128.92397896987245
151,2013,S12000030,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1292.2683010605522
152,2013,S12000030,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,849.3225513426801
153,2013,S12000033,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,4.666477280610896
154,2013,S12000033,"",0-44 years,"",Females,"",Coronary Heart Disease,,c,,c,3.5928389586926173
155,2013,S12000033,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,102.36338177968048
156,2013,S12000033,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,26.130646110020244
157,2013,S12000033,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,366.2390051675504
158,2013,S12000033,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,150.0756885237198
159,2013,S12000033,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1204.0794113714358
160,2013,S12000033,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,870.976979642921
161,2013,S12000034,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,4.290666965015593
162,2013,S12000034,"",0-44 years,"",Females,"",Coronary Heart Disease,,c,,c,1.2805455855934964
163,2013,S12000034,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,78.6186037774556
164,2013,S12000034,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,37.842030798403414
165,2013,S12000034,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,336.3533947401299
166,2013,S12000034,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,130.0123806115031
167,2013,S12000034,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1228.8337085229832
168,2013,S12000034,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,998.2186886368372
169,2013,S12000035,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,6.2023746234272545
170,2013,S12000035,"",0-44 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
171,2013,S12000035,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,68.54449002259956
172,2013,S12000035,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,43.89475443524096
173,2013,S12000035,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,378.8199664488325
174,2013,S12000035,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,90.73751451800231
175,2013,S12000035,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1466.137070674068
176,2013,S12000035,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,1045.8734930126825
177,2013,S12000036,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,1.3464779098752746
178,2013,S12000036,"",0-44 years,"",Females,"",Coronary Heart Disease,,c,,c,0.7740468718554346
179,2013,S12000036,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,115.86256603559808
180,2013,S12000036,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,29.887390806859585
181,2013,S12000036,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,389.4178987887019
182,2013,S12000036,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,105.7582385200062
183,2013,S12000036,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1464.526547885822
184,2013,S12000036,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,824.2872502395098
185,2013,S12000038,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,2.258749427245681
186,2013,S12000038,"",0-44 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
187,2013,S12000038,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,116.37696876983988
188,2013,S12000038,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,36.652855245173555
189,2013,S12000038,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,523.4519274787732
190,2013,S12000038,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,166.63151547335096
191,2013,S12000038,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1454.2025875453028
192,2013,S12000038,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,919.1837780383248
193,2013,S12000039,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,4.476161244117045
194,2013,S12000039,"",0-44 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
195,2013,S12000039,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,185.501366101688
196,2013,S12000039,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,30.0254183161262
197,2013,S12000039,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,435.7499914678323
198,2013,S12000039,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,235.6916795579993
199,2013,S12000039,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,2145.7824678803586
200,2013,S12000039,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,982.1582439866088
201,2013,S12000040,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,7.661325628228701
202,2013,S12000040,"",0-44 years,"",Females,"",Coronary Heart Disease,,c,,c,4.300989589248653
203,2013,S12000040,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,134.2940472679641
204,2013,S12000040,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,39.12675132944742
205,2013,S12000040,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,448.78174723575273
206,2013,S12000040,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,158.68698026782545
207,2013,S12000040,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1745.218091576289
208,2013,S12000040,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,975.1509924085666
209,2013,S12000041,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,6.737506737506738
210,2013,S12000041,"",0-44 years,"",Females,"",Coronary Heart Disease,,c,,c,3.1671055370053662
211,2013,S12000041,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,85.82353137181863
212,2013,S12000041,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,23.177427808858667
213,2013,S12000041,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,338.35406371690516
214,2013,S12000041,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,101.1025540500474
215,2013,S12000041,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1567.475232799453
216,2013,S12000041,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,792.6234094388385
217,2013,S12000042,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,7.573639075316928
218,2013,S12000042,"",0-44 years,"",Females,"",Coronary Heart Disease,,c,,c,3.295947867521729
219,2013,S12000042,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,136.58705483588972
220,2013,S12000042,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,26.37763481626158
221,2013,S12000042,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,502.14598632625047
222,2013,S12000042,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,213.22429122233856
223,2013,S12000042,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1240.008446224953
224,2013,S12000042,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,786.2615920162751
225,2013,S12000045,"",0-44 years,"",Males,"",Coronary Heart Disease,0,"",0,"",0
226,2013,S12000045,"",0-44 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
227,2013,S12000045,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,78.68597891224363
228,2013,S12000045,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,24.38863665493038
229,2013,S12000045,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,216.17127343941343
230,2013,S12000045,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,205.64859546635975
231,2013,S12000045,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1155.3688733750748
232,2013,S12000045,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,620.5537424002058
233,2013,S12000047,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,9.9571242545638
234,2013,S12000047,"",0-44 years,"",Females,"",Coronary Heart Disease,,c,,c,2.1883133219028013
235,2013,S12000047,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,125.9971638484589
236,2013,S12000047,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,21.123807015020446
237,2013,S12000047,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,416.5043728341582
238,2013,S12000047,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,72.89455044102922
239,2013,S12000047,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1547.3360270010307
240,2013,S12000047,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,914.4028488405534
241,2013,S12000048,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,22.885230888248767
242,2013,S12000048,"",0-44 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
243,2013,S12000048,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,56.510388081301514
244,2013,S12000048,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,9.406827185730569
245,2013,S12000048,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,221.74983951976932
246,2013,S12000048,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,113.27823107796094
247,2013,S12000048,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1167.6859388534697
248,2013,S12000048,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,940.6889092831368
249,2013,S12000049,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,7.723934890897227
250,2013,S12000049,"",0-44 years,"",Females,"",Coronary Heart Disease,,c,,c,1.640039620752043
251,2013,S12000049,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,182.05410723125237
252,2013,S12000049,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,47.55781003929637
253,2013,S12000049,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,546.2796445501697
254,2013,S12000049,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,225.19847873255975
255,2013,S12000049,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1469.5487708177882
256,2013,S12000049,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,981.1260990540472
257,2013,S12000050,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,7.901886117639544
258,2013,S12000050,"",0-44 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
259,2013,S12000050,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,192.7377592610191
260,2013,S12000050,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,43.560562841251176
261,2013,S12000050,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,533.9209171787929
262,2013,S12000050,"",65-74 years,"",Females,"",Coronary Heart Disease,,c,,c,246.7688956346699
263,2013,S12000050,"",75plus years,"",Males,"",Coronary Heart Disease,,c,,c,1844.5704634920332
264,2013,S12000050,"",75plus years,"",Females,"",Coronary Heart Disease,,c,,c,969.7168076692228
265,2014,S92000003,d,0-44 years,"",Males,"",Coronary Heart Disease,86,"",5.92237556124838,"",6.48846464636524
266,2014,S92000003,d,0-44 years,"",Females,"",Coronary Heart Disease,28,"",1.92538579917951,"",2.0012675664119057
267,2014,S92000003,d,45-64 years,"",Males,"",Coronary Heart Disease,754,"",105.096628962903,"",106.742205369188
268,2014,S92000003,d,45-64 years,"",Females,"",Coronary Heart Disease,242,"",32.0385097591684,"",32.719245417891464
269,2014,S92000003,d,65-74 years,"",Males,"",Coronary Heart Disease,966,"",380.577169309564,"",391.05463089795546
270,2014,S92000003,d,65-74 years,"",Females,"",Coronary Heart Disease,396,"",140.731448147924,"",143.34230076790686
271,2014,S92000003,d,75plus years,"",Males,"",Coronary Heart Disease,2183,"",1260.75656944846,"",1388.504496319875
272,2014,S92000003,d,75plus years,"",Females,"",Coronary Heart Disease,2217,"",852.403801790163,"",830.2342207280615
273,2014,S12000005,"",0-44 years,"",Males,"",Coronary Heart Disease,,c,,c,7.319572536963841
274,2014,S12000005,"",0-44 years,"",Females,"",Coronary Heart Disease,0,"",0,"",0
275,2014,S12000005,"",45-64 years,"",Males,"",Coronary Heart Disease,,c,,c,126.07621898869527
276,2014,S12000005,"",45-64 years,"",Females,"",Coronary Heart Disease,,c,,c,52.06969159230462
277,2014,S12000005,"",65-74 years,"",Males,"",Coronary Heart Disease,,c,,c,246.53984786875156
